home,65,20,170,140,160,23,90,135,115,40,97,95,40,80,145,90
pos1,65,20,170,140,160,23,100,135,115,40,97,105,40,80,145,90
pos2,65,20,170,140,160,23,95,135,115,40,102,100,40,80,145,95
pos3,65,20,170,140,160,23,95,135,115,40,102,100,30,70,145,95
home2,65,20,170,140,160,23,90,130,115,40,97,95,45,80,145,90
UNAPATA,116,25,170,138,160,23,90,120,115,40,117,95,20,50,145,90
uno,65,20,170,140,160,23,80,130,115,40,97,95,45,80,145,90
dos,65,20,170,120,160,23,80,130,115,40,97,95,45,80,145,90
tres,65,20,170,120,160,23,80,130,125,40,97,95,45,80,145,90
cuatro,116,20,170,82,160,23,80,130,115,55,97,95,45,80,145,90
cinco,65,20,170,120,160,23,80,130,125,40,97,95,21,80,145,90
seis,65,20,170,120,160,23,80,115,125,40,97,95,21,80,145,90
siete,65,20,170,120,160,23,80,135,125,40,97,95,21,80,145,90
seis_b,65,20,170,120,160,23,80,120,125,40,97,95,21,80,145,90
a,65,20,170,140,160,23,80,130,115,40,97,95,45,80,145,90
b,65,20,170,140,160,23,80,145,130,55,97,95,45,80,145,90
c,65,20,170,140,160,23,80,155,140,65,97,95,45,80,145,90
p,65,20,170,140,160,23,90,140,125,40,97,95,45,80,145,90
home2,65,20,170,140,160,23,90,130,115,40,97,95,45,80,130,90
l,65,20,170,120,160,23,75,130,115,40,115,95,45,80,145,90
l2,65,80,170,120,160,23,75,130,115,40,115,95,45,80,145,90
r,65,80,170,140,160,23,100,130,115,40,87,95,45,80,145,90
r2,65,80,170,140,160,23,80,130,115,40,87,95,45,80,145,90
home3,65,20,170,140,160,23,90,130,115,40,97,95,45,80,145,90
g,65,20,170,140,160,23,80,130,115,40,97,95,45,80,145,100
g3,65,20,170,130,140,23,75,130,115,40,97,95,45,80,145,95
home4,65,20,170,140,160,23,90,130,115,40,97,100,45,80,145,90
home5,65,20,170,140,160,23,90,136,125,40,90,100,40,80,145,90
home6,65,20,170,140,160,23,90,139,125,40,90,100,37,80,145,90
lg,95,20,170,140,160,23,90,139,125,40,90,100,37,80,145,90
lg2,95,20,170,140,160,23,90,139,125,40,90,100,47,80,145,90
lg3,95,20,170,140,160,23,80,139,125,40,90,100,47,80,135,90
lg4,95,20,170,140,160,23,80,139,125,40,90,90,47,80,145,100
lg5,110,40,170,140,160,23,75,139,125,40,90,100,47,80,145,100
lg6,95,20,170,140,160,23,80,139,146,30,90,85,47,80,145,100
lg7,95,20,170,140,160,23,80,164,146,30,90,85,47,80,145,100
lg7,95,20,170,140,160,23,80,139,125,40,90,90,47,80,145,115
lg8,95,20,170,140,140,23,75,139,125,40,90,85,47,80,145,115
rc1,65,20,170,145,90,23,90,163,160,40,90,103,41,80,145,83
rc2,65,20,170,145,90,23,78,133,142,27,90,103,41,80,145,83
rc3,65,20,170,145,90,23,90,163,160,40,90,92,32,80,145,80
rc4,65,20,170,145,90,23,78,163,160,40,90,90,32,80,145,80
rc5,65,20,170,145,90,23,78,163,160,40,90,90,32,80,145,83
rc6,65,50,170,145,164,23,78,163,160,40,90,90,32,80,145,83
rc7,60,90,170,140,160,23,80,128,125,40,80,112,57,115,145,90
gc1,65,20,170,145,90,23,78,163,160,40,90,90,55,85,145,83
gc2,80,20,170,145,90,23,78,163,160,30,90,90,45,85,145,83
l1,65,20,170,140,80,23,97,136,125,40,97,107,40,80,145,97
l1,65,20,170,140,80,23,100,136,125,40,100,110,40,80,145,100
l2,65,20,170,140,80,23,105,136,125,40,105,117,40,100,125,97
l3,65,80,170,120,160,23,75,150,135,41,94,95,45,80,145,90
l4,65,80,170,120,160,23,75,150,145,41,94,95,45,80,145,90
l5,65,80,170,120,160,23,75,145,120,40,115,95,45,80,145,90
hom5,65,80,170,120,160,23,75,145,120,40,115,95,45,80,145,90
l6,65,80,170,120,160,23,75,155,120,55,90,95,45,80,145,90
l7,65,80,170,120,160,23,75,155,120,55,75,105,45,80,145,90
l10,65,80,170,120,160,23,75,130,115,40,115,95,45,80,145,105
ld2,65,80,170,120,160,23,90,136,125,40,90,100,40,80,145,90
ld3,65,80,170,120,160,23,75,130,115,40,115,95,45,80,145,90
ld4,65,80,170,120,160,23,80,134,115,40,100,95,45,80,145,90
ld1,65,80,170,120,160,23,65,130,115,40,115,95,45,80,145,90
l8,65,80,170,120,160,23,75,155,120,55,75,100,45,80,145,90
l9,65,80,170,120,160,23,75,155,120,55,75,100,55,80,145,90
l10,65,80,170,120,160,23,75,155,130,55,75,100,55,80,145,90
homep,65,20,170,140,160,23,90,142,125,40,90,100,34,80,145,90
hp,65,20,170,140,160,23,90,142,125,40,90,100,34,80,145,90
p1,65,20,170,140,160,23,71,142,125,40,90,100,34,80,145,90
p2,65,20,170,140,160,23,65,142,125,40,90,100,34,80,145,90
p3,65,20,170,140,160,23,65,130,115,40,115,100,34,80,145,90
p4,65,80,170,120,160,23,75,155,130,55,75,105,45,80,145,90
p0,65,80,170,120,160,23,90,142,125,40,90,100,34,80,145,90
p1a,65,80,170,120,160,23,71,142,125,40,90,100,34,80,145,90
p2a,65,80,170,120,160,23,65,142,125,40,90,100,34,80,145,90
p5,65,20,170,120,160,23,75,155,120,55,90,95,45,80,145,90
hp,65,20,170,140,160,23,90,142,125,40,90,100,34,100,145,90
z2,65,20,170,120,160,23,90,156,125,25,90,100,40,80,145,90
z2,65,20,170,120,160,23,90,156,125,25,90,100,19,60,145,90
t,65,20,170,140,160,23,100,136,125,40,90,110,40,80,145,90
t2,65,20,170,140,160,23,100,146,125,40,90,110,40,80,145,90
tt2,65,20,170,140,160,23,100,160,125,40,90,110,40,80,145,90
tt3,65,20,170,140,160,23,100,150,135,50,90,110,40,80,145,90
tt4,65,20,170,140,160,23,100,150,135,50,90,100,40,80,145,90
y,65,20,170,140,160,23,90,136,125,40,90,110,30,80,145,90
y2,65,20,170,140,160,23,90,136,125,40,90,106,30,80,145,90
m,65,20,170,140,160,23,97,136,125,40,90,107,40,80,145,90
m2,65,20,170,140,160,23,97,140,120,40,90,107,40,80,145,90
cfc,90,93,90,90,90,90,90,90,90,90,90,90,90,90,90,90
